epoch,primary_metric,train/loss,val/primary_metric_value,val/primary_metric_delta_from_previous_epoch,val/primary_metric_margin_over_previous_best,val/primary_metric_gain_over_previous_best,val/primary_metric_improved,val/best_primary_metric,val/best_epoch,training/patience_counter,training/early_stopped,optimizer/lr_group_0,optimizer/lr_group_1,val/loss,val/top10_accuracy_retrieval50,val/n_samples_retrieval50,val/n_skipped_retrieval50,val/balanced_top10_accuracy_retrieval50,val/top10_accuracy_retrieval250,val/n_samples_retrieval250,val/n_skipped_retrieval250,val/balanced_top10_accuracy_retrieval250,val/mean_cosine_similarity,val/std_cosine_similarity,val/mean_pred_norm,val/std_pred_norm,val/mean_target_norm,test_during_train/loss,test_during_train/top10_accuracy_retrieval50,test_during_train/n_samples_retrieval50,test_during_train/n_skipped_retrieval50,test_during_train/balanced_top10_accuracy_retrieval50,test_during_train/top10_accuracy_retrieval250,test_during_train/n_samples_retrieval250,test_during_train/n_skipped_retrieval250,test_during_train/balanced_top10_accuracy_retrieval250,test_during_train/mean_cosine_similarity,test_during_train/std_cosine_similarity,test_during_train/mean_pred_norm,test_during_train/std_pred_norm,test_during_train/mean_target_norm,test_at_best_val/loss,test_at_best_val/top10_accuracy_retrieval50,test_at_best_val/n_samples_retrieval50,test_at_best_val/n_skipped_retrieval50,test_at_best_val/balanced_top10_accuracy_retrieval50,test_at_best_val/top10_accuracy_retrieval250,test_at_best_val/n_samples_retrieval250,test_at_best_val/n_skipped_retrieval250,test_at_best_val/balanced_top10_accuracy_retrieval250,test_at_best_val/mean_cosine_similarity,test_at_best_val/std_cosine_similarity,test_at_best_val/mean_pred_norm,test_at_best_val/std_pred_norm,test_at_best_val/mean_target_norm
1,balanced_top10_accuracy_retrieval250,4.976288477579753,0.04291845493562232,,0.04291845493562232,0.04291845493562232,True,0.04291845493562232,1,0,False,1e-05,0.001,4.897067228953044,0.17910447716712952,1139,1711,0.2,0.015550239011645317,1672,1178,0.04291845493562232,0.6090226173400879,0.01049764920026064,93.89572143554688,0.029924901202321053,2474.98486328125,4.897044502958959,0.19452887773513794,987,1463,0.2,0.020422056317329407,1469,981,0.04310344827586207,0.6093915700912476,0.010491426102817059,93.88858795166016,0.03327907249331474,2485.824951171875,4.897044502958959,0.19452887773513794,987,1463,0.2,0.020422056317329407,1469,981,0.04310344827586207,0.6093915700912476,0.010491426102817059,93.88858795166016,0.03327907249331474,2485.824951171875
2,balanced_top10_accuracy_retrieval250,4.895748408153803,0.0411526817836411,-0.0017657731519812175,-0.0017657731519812175,0.0,False,0.04291845493562232,1,1,False,1e-05,0.001,4.898940320600543,0.18964003026485443,1139,1711,0.2139422842487693,0.021531101316213608,1672,1178,0.0411526817836411,0.6154336333274841,0.011316664516925812,95.19686126708984,0.2516138255596161,2474.98486328125,4.898614328734729,0.20871327817440033,987,1463,0.21370189473032952,0.02654867246747017,1469,981,0.03778483389459293,0.6157585978507996,0.011534427292644978,95.17263793945312,0.26588547229766846,2485.824951171875,4.897044502958959,0.19452887773513794,987,1463,0.2,0.020422056317329407,1469,981,0.04310344827586207,0.6093915700912476,0.010491426102817059,93.88858795166016,0.03327907249331474,2485.824951171875
3,balanced_top10_accuracy_retrieval250,4.886979926716197,0.029351680281735924,-0.011801001501905176,-0.013566774653886393,0.0,False,0.04291845493562232,1,2,False,1e-05,0.001,4.904539250490958,0.1764705926179886,1139,1711,0.17814668033272027,0.02930621989071369,1672,1178,0.029351680281735924,0.6053910255432129,0.013839119113981724,105.31934356689453,1.0959347486495972,2474.98486328125,4.902821686803078,0.20871327817440033,987,1463,0.21813575588166714,0.042886316776275635,1469,981,0.04946093376051506,0.6058787703514099,0.014253159984946251,105.31301879882812,1.1515257358551025,2485.824951171875,4.897044502958959,0.19452887773513794,987,1463,0.2,0.020422056317329407,1469,981,0.04310344827586207,0.6093915700912476,0.010491426102817059,93.88858795166016,0.03327907249331474,2485.824951171875
4,balanced_top10_accuracy_retrieval250,4.836914154014202,0.05301177837434245,0.023660098092606524,0.010093323438720131,0.010093323438720131,True,0.05301177837434245,4,0,False,1e-05,0.001,4.9474302843997355,0.17910447716712952,1139,1711,0.2013188022747636,0.047248803079128265,1672,1178,0.05301177837434245,0.6047945022583008,0.032611094415187836,91.27131652832031,2.4508204460144043,2474.98486328125,4.940304717239068,0.18237082660198212,987,1463,0.21085877511650325,0.05173587426543236,1469,981,0.0398382531029397,0.606020987033844,0.03247838839888573,91.2929458618164,2.425741195678711,2485.824951171875,4.940304717239068,0.18237082660198212,987,1463,0.21085877511650325,0.05173587426543236,1469,981,0.0398382531029397,0.606020987033844,0.03247838839888573,91.2929458618164,2.425741195678711,2485.824951171875
5,balanced_top10_accuracy_retrieval250,4.6660968173633925,0.05161403006846045,-0.0013977483058819976,-0.0013977483058819976,0.0,False,0.05301177837434245,4,1,False,1e-05,0.001,5.042383035024007,0.19315189123153687,1139,1711,0.17712293338030577,0.08373206108808517,1672,1178,0.05161403006846045,0.5859267711639404,0.05518922209739685,61.746212005615234,3.8845112323760986,2474.98486328125,5.03570252048726,0.22188450396060944,987,1463,0.19247812937945127,0.09121851623058319,1469,981,0.04291050259730425,0.5878069996833801,0.05683472380042076,61.70994186401367,3.930445432662964,2485.824951171875,4.940304717239068,0.18237082660198212,987,1463,0.21085877511650325,0.05173587426543236,1469,981,0.0398382531029397,0.606020987033844,0.03247838839888573,91.2929458618164,2.425741195678711,2485.824951171875
6,balanced_top10_accuracy_retrieval250,4.4108090448861175,0.05537380147005867,0.003759771401598222,0.0023620230957162244,0.0023620230957162244,True,0.05537380147005867,6,0,False,1e-05,0.001,5.0976414262202745,0.20983318984508514,1139,1711,0.1714204800873995,0.08732057362794876,1672,1178,0.05537380147005867,0.5854269862174988,0.0671679675579071,47.836978912353516,3.7195687294006348,2474.98486328125,5.089777002529222,0.22998987138271332,987,1463,0.20297522515058516,0.08373042941093445,1469,981,0.03821646263180622,0.5864990949630737,0.06809414178133011,47.61296463012695,3.6675076484680176,2485.824951171875,5.089777002529222,0.22998987138271332,987,1463,0.20297522515058516,0.08373042941093445,1469,981,0.03821646263180622,0.5864990949630737,0.06809414178133011,47.61296463012695,3.6675076484680176,2485.824951171875
7,balanced_top10_accuracy_retrieval250,4.098937053873081,0.043233026618481704,-0.012140774851576969,-0.012140774851576969,0.0,False,0.05537380147005867,6,1,False,1e-05,0.001,5.146393750843249,0.20983318984508514,1139,1711,0.168898573666811,0.08313397318124771,1672,1178,0.043233026618481704,0.5771989226341248,0.07320652902126312,39.307945251464844,3.5541396141052246,2474.98486328125,5.1486541592344945,0.21985815465450287,987,1463,0.1821014566719532,0.07556160539388657,1469,981,0.03607204813381721,0.5766178369522095,0.07383072376251221,39.23143005371094,3.5919275283813477,2485.824951171875,5.089777002529222,0.22998987138271332,987,1463,0.20297522515058516,0.08373042941093445,1469,981,0.03821646263180622,0.5864990949630737,0.06809414178133011,47.61296463012695,3.6675076484680176,2485.824951171875
8,balanced_top10_accuracy_retrieval250,3.6960714682184084,0.0418955658286682,-0.001337460789813505,-0.013478235641390474,0.0,False,0.05537380147005867,6,2,False,1e-05,0.001,5.223228471320972,0.22036874294281006,1139,1711,0.17904961481690407,0.09629186242818832,1672,1178,0.0418955658286682,0.5577754378318787,0.08120670914649963,33.138450622558594,2.780087471008301,2474.98486328125,5.224957183915741,0.22998987138271332,987,1463,0.19310866951942443,0.07896528393030167,1469,981,0.033029391269745495,0.5559824705123901,0.08336922526359558,33.30155563354492,2.912134885787964,2485.824951171875,5.089777002529222,0.22998987138271332,987,1463,0.20297522515058516,0.08373042941093445,1469,981,0.03821646263180622,0.5864990949630737,0.06809414178133011,47.61296463012695,3.6675076484680176,2485.824951171875
9,balanced_top10_accuracy_retrieval250,3.3355520012402775,0.032166809547100966,-0.009728756281567233,-0.023206991922957707,0.0,False,0.05537380147005867,6,3,False,1e-05,0.001,5.274428727334006,0.30289727449417114,1139,1711,0.17774248480796814,0.11961722373962402,1672,1178,0.032166809547100966,0.5714235305786133,0.09751706570386887,30.766542434692383,2.328038454055786,2474.98486328125,5.293782419087935,0.2857142984867096,987,1463,0.20042075246572494,0.09666439890861511,1469,981,0.039829297376603914,0.5664458274841309,0.09594271332025528,30.91254234313965,2.455416202545166,2485.824951171875,5.089777002529222,0.22998987138271332,987,1463,0.20297522515058516,0.08373042941093445,1469,981,0.03821646263180622,0.5864990949630737,0.06809414178133011,47.61296463012695,3.6675076484680176,2485.824951171875
10,balanced_top10_accuracy_retrieval250,3.025188128153483,0.025386341555691583,-0.0067804679914093835,-0.02998745991436709,0.0,False,0.05537380147005867,6,4,False,1e-05,0.001,5.328527902301989,0.31431078910827637,1139,1711,0.20793605342507362,0.14294257760047913,1672,1178,0.025386341555691583,0.5564461946487427,0.10012935847043991,28.43387794494629,2.173835277557373,2474.98486328125,5.328815810534419,0.29483282566070557,987,1463,0.1744091460108757,0.132062628865242,1469,981,0.030689119570085716,0.554965078830719,0.09890374541282654,28.388599395751953,2.2210216522216797,2485.824951171875,5.089777002529222,0.22998987138271332,987,1463,0.20297522515058516,0.08373042941093445,1469,981,0.03821646263180622,0.5864990949630737,0.06809414178133011,47.61296463012695,3.6675076484680176,2485.824951171875
